Time,best_x_avg,best_y_avg,target_x,target_y,error_x,error_y,error
50.8,7.3,-6.6,7.49,-6.57,-0.1900000000000004,-0.02999999999999936,0.19235384061671373
50.9,7.3,-6.6,7.75,-6.35,-0.4500000000000002,-0.25,0.5147815070493501
51.0,7.4,-6.62,7.74,-6.01,-0.33999999999999986,-0.6100000000000003,0.6983552104767317
51.1,7.3,-6.6,7.68,-6.34,-0.3799999999999999,-0.2599999999999998,0.4604345773288533
51.2,7.3,-6.6,7.47,-6.08,-0.16999999999999993,-0.5199999999999996,0.5470831746635968
51.3,7.3,-6.6,7.24,-6.32,0.05999999999999961,-0.27999999999999936,0.28635642126552635
51.4,7.3,-6.6,7.06,-6.03,0.2400000000000002,-0.5699999999999994,0.6184658438426486
51.5,7.3,-6.6,7.19,-5.72,0.10999999999999943,-0.8799999999999999,0.8868483523128403
51.6,7.3,-6.6,7.44,-5.95,-0.14000000000000057,-0.6499999999999995,0.6649060083951712
51.7,7.3,-6.6,7.19,-5.72,0.10999999999999943,-0.8799999999999999,0.8868483523128403
51.8,7.3,-6.6,6.97,-5.97,0.33000000000000007,-0.6299999999999999,0.7111961754677818
51.9,7.3,-6.6,7.14,-6.26,0.16000000000000014,-0.33999999999999986,0.37576588456111865
52.0,7.279999999999999,-6.62,7.42,-6.44,-0.14000000000000057,-0.17999999999999972,0.22803508501982772
52.1,7.3,-6.6,7.11,-6.56,0.1899999999999995,-0.040000000000000036,0.19416487838947552
52.2,7.3,-6.6,7.36,-6.77,-0.0600000000000005,0.16999999999999993,0.18027756377319956
52.3,7.3,-6.6,7.61,-6.55,-0.3100000000000005,-0.04999999999999982,0.3140063693621521
52.4,7.3,-6.6,7.39,-6.8,-0.08999999999999986,0.20000000000000018,0.2193171219946132
52.5,7.3,-6.6,7.14,-6.57,0.16000000000000014,-0.02999999999999936,0.1627882059609971
52.6,7.3,-6.6,6.85,-6.73,0.4500000000000002,0.13000000000000078,0.46840153714521515
52.7,7.3,-6.6,7.02,-6.44,0.28000000000000025,-0.15999999999999925,0.32249030993194183
52.8,7.3,-6.6,6.68,-6.42,0.6200000000000001,-0.17999999999999972,0.645600495662759
52.9,7.3,-6.6,6.84,-6.13,0.45999999999999996,-0.46999999999999975,0.6576473218982951
53.0,7.24,-6.5200000000000005,6.75,-5.81,0.4900000000000002,-0.7100000000000009,0.8626702730475888
53.1,7.3,-6.6,6.56,-5.53,0.7400000000000002,-1.0699999999999994,1.3009611831257684
53.2,7.3,-6.6,6.36,-5.27,0.9399999999999995,-1.33,1.6286497474902328
53.3,7.3,-6.6,6.07,-5.42,1.2299999999999995,-1.1799999999999997,1.7044940598312446
53.4,7.3,-6.6,5.87,-5.15,1.4299999999999997,-1.4499999999999993,2.0365166338628313
53.5,7.3,-6.6,5.65,-4.91,1.6499999999999995,-1.6899999999999995,2.3619060099843083
53.6,7.3,-6.6,5.34,-5.04,1.96,-1.5599999999999996,2.505034929896188
53.7,7.3,-6.6,5.1,-5.27,2.2,-1.33,2.5707780923292467
53.8,7.3,-6.6,4.81,-5.11,2.49,-1.4899999999999993,2.9017580877805784
53.9,7.3,-6.6,4.59,-5.37,2.71,-1.2299999999999995,2.9760712357065646
54.0,7.140000000000001,-6.4,4.27,-5.43,2.870000000000001,-0.9700000000000006,3.029488405655319
54.1,7.3,-6.6,4.11,-5.13,3.1899999999999995,-1.4699999999999998,3.5124065823876363
54.2,7.3,-6.6,4.23,-4.83,3.0699999999999994,-1.7699999999999996,3.5436986327846776
54.3,7.3,-6.6,4.15,-5.15,3.1499999999999995,-1.4499999999999993,3.4677081768799396
54.4,7.3,-6.6,4.28,-5.46,3.0199999999999996,-1.1399999999999997,3.2280024783137944
54.5,7.3,-6.6,3.98,-5.29,3.32,-1.3099999999999996,3.5691035288990984
54.6,7.3,-6.6,4.23,-5.52,3.0699999999999994,-1.08,3.254427753077336
54.7,7.3,-6.6,3.9,-5.54,3.4,-1.0599999999999996,3.5614042174400815
54.8,7.3,-6.6,4.15,-5.33,3.1499999999999995,-1.2699999999999996,3.396380426277362
54.9,7.3,-6.6,4.48,-5.41,2.8199999999999994,-1.1899999999999995,3.060800548876061
55.0,7.140000000000001,-6.540000000000001,4.15,-5.45,2.99,-1.0900000000000007,3.1824833071046896
55.1,6.7,-5.9,3.94,-5.18,2.7600000000000002,-0.7200000000000006,2.8523674377611314
55.2,6.7,-5.9,3.73,-4.92,2.97,-0.9800000000000004,3.1275069943966556
55.3,6.7,-5.9,3.95,-5.18,2.75,-0.7200000000000006,2.8426923857498196
55.4,6.7,-5.9,4.22,-4.99,2.4800000000000004,-0.9100000000000001,2.6416850682850144
55.5,6.7,-5.9,4.53,-4.86,2.17,-1.04,2.40634577731464
55.6,4.7,-3.2,4.3,-4.61,0.40000000000000036,1.4100000000000001,1.465639792036229
55.7,4.7,-3.3,4.44,-4.92,0.2599999999999998,1.62,1.6407315441594947
55.8,4.7,-3.3,4.58,-4.61,0.1200000000000001,1.3100000000000005,1.3154847015454043
55.9,4.7,-3.3,4.32,-4.41,0.3799999999999999,1.1100000000000003,1.1732433677630574
56.0,6.32,-5.46,4.38,-4.74,1.9400000000000004,-0.7199999999999998,2.06929939834718
56.1,4.4,-3.1,4.52,-4.44,-0.11999999999999922,1.3400000000000003,1.3453624047073711
56.2,4.4,-3.1,4.82,-4.29,-0.41999999999999993,1.19,1.2619429464123961
56.3,5.9,-4.58,4.88,-3.96,1.0200000000000005,-0.6200000000000001,1.1936498649101424
56.4,5.9,-4.6,4.6,-4.14,1.3000000000000007,-0.45999999999999996,1.3789851340750567
56.5,5.9,-4.6,4.86,-4.35,1.04,-0.25,1.0696261028976435
56.6,5.8,-4.4,4.92,-4.68,0.8799999999999999,0.27999999999999936,0.9234717104492154
56.7,5.66,-4.779999999999999,4.62,-4.83,1.04,0.05000000000000071,1.0412012293500235
56.8,5.7,-4.8,4.3,-4.91,1.4000000000000004,0.11000000000000032,1.4043147795277244
56.9,5.7,-4.8,4.63,-4.89,1.0700000000000003,0.08999999999999986,1.0737783756436896
57.0,5.62,-4.88,4.64,-4.56,0.9800000000000004,-0.3200000000000003,1.0309219175087903
57.1,5.3,-4.9,4.87,-4.32,0.4299999999999997,-0.5800000000000001,0.7220110802473878
57.2,5.279999999999999,-4.5,4.79,-4.64,0.4899999999999993,0.13999999999999968,0.5096076922496355
57.3,5.06,-4.82,4.68,-4.96,0.3799999999999999,0.13999999999999968,0.4049691346263315
57.4,4.9,-4.92,4.35,-4.93,0.5500000000000007,0.009999999999999787,0.5500909015790033
57.5,4.9,-4.9,4.62,-4.73,0.28000000000000025,-0.16999999999999993,0.32756678708318415
57.6,4.9,-4.9,4.55,-4.41,0.35000000000000053,-0.4900000000000002,0.6021627686929844
57.7,4.9,-4.9,4.22,-4.36,0.6800000000000006,-0.54,0.8683317338436969
57.8,4.9,-4.9,4.45,-4.59,0.4500000000000002,-0.3100000000000005,0.5464430436925705
57.9,4.9,-4.9,4.12,-4.58,0.7800000000000002,-0.3200000000000003,0.84308955633432
58.0,4.9,-4.82,3.91,-4.32,0.9900000000000002,-0.5,1.1090987332063815
58.1,4.9,-4.9,3.67,-4.54,1.2300000000000004,-0.3600000000000003,1.28160056179763
58.2,4.9,-4.9,3.94,-4.74,0.9600000000000004,-0.16000000000000014,0.9732420048477156
58.3,4.9,-4.9,3.87,-4.41,1.0300000000000002,-0.4900000000000002,1.14061386980871
58.4,4.9,-4.9,4.13,-4.2,0.7700000000000005,-0.7000000000000002,1.0406248123122959
58.5,4.9,-4.9,4.33,-4.47,0.5700000000000003,-0.4300000000000006,0.7140028011149542
58.6,4.9,-4.9,4.39,-4.14,0.5100000000000007,-0.7600000000000007,0.9152595260361958
58.7,4.9,-4.9,4.39,-3.8,0.5100000000000007,-1.1000000000000005,1.212476803901832
58.8,4.9,-4.9,4.18,-3.55,0.7200000000000006,-1.3500000000000005,1.5300000000000007
58.9,4.9,-4.9,3.87,-3.67,1.0300000000000002,-1.2300000000000004,1.6043067038443746
59.0,4.82,-4.779999999999999,3.6,-3.47,1.2200000000000002,-1.3099999999999992,1.7901117283566403
59.1,4.9,-4.9,3.29,-3.36,1.6100000000000003,-1.5400000000000005,2.2279362647975374
59.2,4.9,-4.9,3.49,-3.63,1.4100000000000001,-1.2700000000000005,1.8976301009416987
59.3,4.9,-4.9,3.72,-3.87,1.1800000000000002,-1.0300000000000002,1.5663013758533193
59.4,4.9,-4.9,4.05,-3.84,0.8500000000000005,-1.0600000000000005,1.3587126259809328
59.5,4.9,-4.9,4.08,-3.5,0.8200000000000003,-1.4000000000000004,1.622467256988566
59.6,4.9,-4.9,4.41,-3.55,0.4900000000000002,-1.3500000000000005,1.4361754767437027
59.7,4.9,-4.9,4.74,-3.49,0.16000000000000014,-1.4100000000000001,1.4190489773083945
59.8,4.9,-4.9,4.49,-3.72,0.41000000000000014,-1.1800000000000002,1.249199743836029
59.9,4.9,-4.9,4.32,-4.0,0.5800000000000001,-0.9000000000000004,1.0707007051459343
60.0,4.92,-4.74,4.57,-4.22,0.34999999999999964,-0.5200000000000005,0.6268173577685929
60.1,4.9,-4.220000000000001,4.38,-4.49,0.5200000000000005,0.2699999999999996,0.5859180830116103
60.2,4.9,-4.2,4.45,-4.82,0.4500000000000002,0.6200000000000001,0.7660939890117924
60.3,4.6,-4.8,4.65,-4.56,-0.05000000000000071,-0.2400000000000002,0.2451530134426256
60.4,4.6,-4.8,4.98,-4.49,-0.3800000000000008,-0.3099999999999996,0.4904079934095695
60.5,4.6,-4.8,5.17,-4.22,-0.5700000000000003,-0.5800000000000001,0.8132035415564792
60.6,4.6,-4.8,5.51,-4.23,-0.9100000000000001,-0.5699999999999994,1.0737783756436892
60.7,4.6,-4.8,5.24,-4.04,-0.6400000000000006,-0.7599999999999998,0.9935793878699378
60.8,4.6,-4.8,5.43,-3.76,-0.8300000000000001,-1.04,1.3306013678032953
60.9,4.6,-4.8,5.48,-3.43,-0.8800000000000008,-1.3699999999999997,1.6282813024781684
61.0,4.720000000000001,-4.54,5.58,-3.12,-0.8599999999999994,-1.42,1.6601204775557703
61.1,4.6,-4.8,5.76,-2.84,-1.1600000000000001,-1.96,2.2775425352778815
61.2,4.6,-4.8,5.89,-3.14,-1.29,-1.6599999999999997,2.102308255228048
61.3,4.6,-4.8,6.11,-3.4,-1.5100000000000007,-1.4,2.059150310200788
61.4,4.6,-4.8,6.11,-3.73,-1.5100000000000007,-1.0699999999999998,1.8506755523321752
61.5,4.6,-4.8,5.79,-3.82,-1.1900000000000004,-0.98,1.5415900881881672
61.6,4.6,-4.8,5.8,-4.15,-1.2000000000000002,-0.6499999999999995,1.364734406395618
61.7,4.6,-4.8,6.01,-4.41,-1.4100000000000001,-0.3899999999999997,1.4629422408283932
61.8,4.6,-4.8,6.28,-4.61,-1.6800000000000006,-0.1899999999999995,1.6907099100673664
61.9,4.6,-4.8,5.96,-4.72,-1.3600000000000003,-0.08000000000000007,1.3623509092741124
62.0,4.68,-4.82,5.82,-4.42,-1.1400000000000006,-0.40000000000000036,1.2081390648431172
62.1,4.6,-4.8,6.13,-4.32,-1.5300000000000002,-0.47999999999999954,1.6035273617871322
62.2,4.6,-4.8,6.44,-4.18,-1.8400000000000007,-0.6200000000000001,1.9416487838947607
62.3,4.6,-4.8,6.2,-4.42,-1.6000000000000005,-0.3799999999999999,1.6445060048537379
62.4,4.6,-4.8,6.46,-4.62,-1.8600000000000003,-0.17999999999999972,1.8686893802876927
62.5,4.6,-4.8,6.67,-4.36,-2.0700000000000003,-0.4399999999999995,2.116246677492962
62.6,4.6,-4.8,6.95,-4.19,-2.3500000000000005,-0.6099999999999994,2.427879733429974
62.7,4.6,-4.8,7.16,-4.45,-2.5600000000000005,-0.34999999999999964,2.5838150088580263
62.8,4.6,-4.8,7.02,-4.74,-2.42,-0.05999999999999961,2.420743687382041
62.9,4.6,-4.8,6.92,-4.42,-2.3200000000000003,-0.3799999999999999,2.350914715594762
63.0,4.8,-4.819999999999999,6.63,-4.27,-1.83,-0.5499999999999998,1.910863679072895
63.1,4.6,-4.8,6.82,-4.54,-2.2200000000000006,-0.2599999999999998,2.2351733713517623
63.2,4.6,-4.8,6.87,-4.87,-2.2700000000000005,0.07000000000000028,2.2710790386950435
63.3,4.6,-4.8,7.14,-4.68,-2.54,-0.1200000000000001,2.5428330656966063
63.4,4.6,-4.8,6.83,-4.81,-2.2300000000000004,0.009999999999999787,2.2300224214119466
63.5,4.6,-4.8,6.95,-4.5,-2.3500000000000005,-0.2999999999999998,2.3690715480964273
63.6,4.6,-4.8,7.27,-4.4,-2.67,-0.39999999999999947,2.69979628861142
63.7,4.6,-4.8,7.6,-4.43,-3.0,-0.3700000000000001,3.022730553655089
63.8,4.6,-4.8,7.5,-4.11,-2.9000000000000004,-0.6899999999999995,2.980956222422597
63.9,4.6,-4.8,7.66,-3.83,-3.0600000000000005,-0.9699999999999998,3.2100623046912973
64.0,4.7,-4.86,7.4,-3.63,-2.7,-1.2300000000000004,2.966968149475151
64.1,4.6,-4.8,7.73,-3.59,-3.130000000000001,-1.21,3.3557413487931402
64.2,4.6,-4.8,8.06,-3.59,-3.460000000000001,-1.21,3.6654740484690387
64.3,4.6,-4.8,8.22,-3.3,-3.620000000000001,-1.5,3.9184690888151725
64.4,4.6,-4.8,8.41,-3.02,-3.8100000000000005,-1.7799999999999998,4.205294282211413
64.5,4.6,-4.8,8.59,-3.3,-3.99,-1.5,4.262640027025506
64.6,4.6,-4.8,8.54,-2.97,-3.9399999999999995,-1.8299999999999996,4.344249072049161
64.7,4.6,-4.8,8.31,-2.74,-3.710000000000001,-2.0599999999999996,4.243548043795428
64.8,4.6,-4.8,8.64,-2.79,-4.040000000000001,-2.01,4.5123940430773555
64.9,4.6,-4.8,8.76,-3.1,-4.16,-1.6999999999999997,4.493951490614913
65.0,4.8,-4.779999999999999,9.08,-3.0,-4.28,-1.7799999999999994,4.63538563660026
65.1,5.26,-4.720000000000001,9.21,-3.3,-3.950000000000001,-1.4200000000000008,4.197487343637859
65.2,5.2,-4.7,9.0,-3.56,-3.8,-1.1400000000000001,3.967316473386009
65.3,5.32,-4.56,8.75,-3.34,-3.4299999999999997,-1.2199999999999998,3.640508206281095
65.4,5.5200000000000005,-4.74,8.85,-3.02,-3.329999999999999,-1.7200000000000002,3.747972785386788
65.5,5.5,-4.7,8.72,-3.33,-3.2200000000000006,-1.37,3.499328507013882
65.6,5.6,-4.3,8.99,-3.14,-3.3900000000000006,-1.1599999999999997,3.5829736253564586
65.7,5.6,-4.3,9.11,-3.45,-3.51,-0.8499999999999996,3.6114540008146303
65.8,5.6,-4.3,8.87,-3.21,-3.2699999999999996,-1.0899999999999999,3.446882649583533
65.9,5.9,-4.2,8.91,-3.54,-3.01,-0.6600000000000001,3.0815093704222285
66.0,5.74,-4.36,9.01,-3.86,-3.2699999999999996,-0.5000000000000004,3.308005441349817
66.1,6.0200000000000005,-4.08,9.3,-4.03,-3.2800000000000002,-0.04999999999999982,3.2803810754240126
66.2,6.0200000000000005,-4.08,9.33,-3.7,-3.3099999999999996,-0.3799999999999999,3.3317412864746863
66.3,6.0200000000000005,-4.06,9.56,-3.46,-3.54,-0.5999999999999996,3.5904874320905233
66.4,6.0200000000000005,-4.06,9.81,-3.24,-3.79,-0.8199999999999994,3.8776926128820475
66.5,6.04,-4.02,9.48,-3.21,-3.4400000000000004,-0.8099999999999996,3.534076965771968
66.6,6.04,-4.04,9.28,-2.94,-3.2399999999999993,-1.1,3.421637035104687
66.7,6.04,-4.02,8.99,-3.1,-2.95,-0.9199999999999995,3.0901294471267704
66.8,6.2,-3.7,8.68,-2.96,-2.4799999999999995,-0.7400000000000002,2.588049458569136
66.9,6.24,-3.7,8.43,-2.74,-2.1899999999999995,-0.96,2.391171261118701
67.0,6.24,-3.9,8.46,-3.07,-2.2200000000000006,-0.8300000000000001,2.37008438668331
67.1,6.720000000000001,-3.7600000000000002,8.24,-3.32,-1.5199999999999996,-0.4400000000000004,1.5824032355881983
67.2,6.8,-3.62,8.49,-3.11,-1.6900000000000004,-0.5100000000000002,1.7652761823578773
67.3,6.8,-3.6,8.82,-3.18,-2.0200000000000005,-0.41999999999999993,2.063201395889408
67.4,6.8,-3.6,8.62,-3.44,-1.8199999999999994,-0.16000000000000014,1.8270194306574843
67.5,6.8,-3.6,8.35,-3.64,-1.5499999999999998,0.040000000000000036,1.5505160431288671
67.6,7.040000000000001,-3.6,8.05,-3.79,-1.0099999999999998,0.18999999999999995,1.0277159140540735
67.7,7.2,-3.62,8.28,-4.03,-1.0799999999999992,0.41000000000000014,1.1552056094046628
67.8,7.2,-3.6,8.57,-4.2,-1.37,0.6000000000000001,1.4956269588369957
67.9,7.2,-3.6,8.62,-4.53,-1.419999999999999,0.9300000000000002,1.6974392478082971
68.0,7.08,-3.66,8.74,-4.84,-1.6600000000000001,1.1799999999999997,2.0366639388961545
68.1,7.2,-3.6,8.61,-4.53,-1.4099999999999993,0.9300000000000002,1.6890825912311092
68.2,7.2,-3.6,8.93,-4.43,-1.7299999999999995,0.8299999999999996,1.9188017094009473
68.3,7.2,-3.6,8.79,-4.73,-1.589999999999999,1.1300000000000003,1.9506409203131154
68.4,7.2,-3.6,9.04,-4.51,-1.839999999999999,0.9099999999999997,2.0527298896834907
68.5,7.2,-3.6,9.07,-4.18,-1.87,0.5799999999999996,1.9578815081613086
68.6,7.2,-3.6,9.4,-4.13,-2.2,0.5299999999999998,2.2629405648403584
68.7,7.2,-3.6,9.67,-4.33,-2.4699999999999998,0.73,2.5756164310704337
68.8,7.2,-3.6,9.42,-4.55,-2.2199999999999998,0.9499999999999997,2.4147256572952545
68.9,7.2,-3.6,9.42,-4.21,-2.2199999999999998,0.6099999999999999,2.302281477143922
69.0,7.279999999999999,-3.78,9.35,-3.89,-2.0700000000000003,0.11000000000000032,2.072920644887305
69.1,7.2,-3.6,9.55,-4.16,-2.3500000000000005,0.56,2.4158021442162854
69.2,7.2,-3.6,9.25,-4.01,-2.05,0.4099999999999997,2.0905980005730416
69.3,7.2,-3.6,9.25,-3.67,-2.05,0.06999999999999984,2.0511947737842937
69.4,7.2,-3.6,9.33,-4.0,-2.13,0.3999999999999999,2.1672332592501435
69.5,7.2,-3.6,9.52,-3.72,-2.3199999999999994,0.1200000000000001,2.323101375317056
69.6,7.2,-3.6,9.38,-4.03,-2.1800000000000006,0.43000000000000016,2.2220036003571195
69.7,7.2,-3.6,9.7,-3.94,-2.499999999999999,0.33999999999999986,2.5230140705116955
69.8,7.2,-3.6,9.83,-3.63,-2.63,0.029999999999999805,2.6301710970961563
69.9,7.2,-3.6,10.15,-3.54,-2.95,-0.06000000000000005,2.9506101064017254
70.0,7.3,-3.7399999999999998,9.8,-3.46,-2.500000000000001,-0.2799999999999998,2.5156311335328962
70.1,7.44,-3.38,9.7,-3.14,-2.259999999999999,-0.23999999999999977,2.2727076362788057
70.2,7.6,-3.28,9.98,-2.97,-2.380000000000001,-0.3099999999999996,2.4001041644062044
70.3,7.6,-3.3,10.17,-3.25,-2.5700000000000003,-0.04999999999999982,2.5704863353069984
70.4,7.6,-3.3,9.71,-3.51,-2.110000000000001,0.20999999999999996,2.1204244858046715
70.5,7.82,-3.54,10.01,-3.38,-2.1899999999999995,-0.16000000000000014,2.1958369702689673
70.6,7.840000000000001,-3.5,9.14,-3.64,-1.2999999999999998,0.14000000000000012,1.3075167302944921
