Time,ID,Measurement,x,y,Ni,Linear Coverage,Abs(zi-z_goal)/range
1.7,11,1.095,0.2,3.1,7.0,2.821,0.024
1.7,12,0.053,13.9,-8.8,4.0,4.514,0.235
1.7,13,0.118,13.4,2.0,6.0,3.224,0.219
1.7,14,0.015,-12.6,16.2,3.0,5.642,0.245
1.7,15,0.952,-3.3,-2.0,4.0,4.514,0.012
1.7,16,0.068,-15.3,2.7,1.0,11.284,0.232
1.7,17,0.206,10.9,-2.8,6.0,3.224,0.197
1.7,18,0.039,17.0,-4.2,5.0,3.761,0.239
1.7,19,0.466,7.0,2.8,9.0,2.257,0.133
1.7,20,0.061,-3.7,15.5,5.0,3.761,0.233
1.7,21,0.077,12.0,9.2,6.0,3.224,0.229
1.7,22,0.075,-3.0,14.9,5.0,3.761,0.23
1.7,23,0.427,2.3,7.6,9.0,2.257,0.142
1.7,24,0.008,16.7,-15.1,2.0,7.523,0.247
1.7,25,0.003,-23.1,-9.9,1.0,11.284,0.248
1.8,1,0.285,-9.4,-4.7,3.0,5.642,0.178
1.8,2,0.008,2.1,-23.8,0.0,22.568,0.247
1.8,3,0.317,9.5,2.9,10.0,2.052,0.17
