,Time,best_x_avg,best_y_avg,target_x,target_y,error_x,error_y,error
600,60.0,4.92,-4.74,4.57,-4.22,0.34999999999999964,-0.5200000000000005,0.6268173577685929
601,60.1,4.9,-4.220000000000001,4.38,-4.49,0.5200000000000005,0.2699999999999996,0.5859180830116103
602,60.2,4.9,-4.2,4.45,-4.82,0.4500000000000002,0.6200000000000001,0.7660939890117924
603,60.3,4.6,-4.8,4.65,-4.56,-0.05000000000000071,-0.2400000000000002,0.2451530134426256
604,60.4,4.6,-4.8,4.98,-4.49,-0.3800000000000008,-0.3099999999999996,0.4904079934095695
605,60.5,4.6,-4.8,5.17,-4.22,-0.5700000000000003,-0.5800000000000001,0.8132035415564792
606,60.6,4.6,-4.8,5.51,-4.23,-0.9100000000000001,-0.5699999999999994,1.0737783756436892
607,60.7,4.6,-4.8,5.24,-4.04,-0.6400000000000006,-0.7599999999999998,0.9935793878699378
608,60.8,4.6,-4.8,5.43,-3.76,-0.8300000000000001,-1.04,1.3306013678032953
609,60.9,4.6,-4.8,5.48,-3.43,-0.8800000000000008,-1.3699999999999997,1.6282813024781684
610,61.0,4.720000000000001,-4.54,5.58,-3.12,-0.8599999999999994,-1.42,1.6601204775557703
611,61.1,4.6,-4.8,5.76,-2.84,-1.1600000000000001,-1.96,2.2775425352778815
612,61.2,4.6,-4.8,5.89,-3.14,-1.29,-1.6599999999999997,2.102308255228048
613,61.3,4.6,-4.8,6.11,-3.4,-1.5100000000000007,-1.4,2.059150310200788
614,61.4,4.6,-4.8,6.11,-3.73,-1.5100000000000007,-1.0699999999999998,1.8506755523321752
615,61.5,4.6,-4.8,5.79,-3.82,-1.1900000000000004,-0.98,1.5415900881881672
616,61.6,4.6,-4.8,5.8,-4.15,-1.2000000000000002,-0.6499999999999995,1.364734406395618
617,61.7,4.6,-4.8,6.01,-4.41,-1.4100000000000001,-0.3899999999999997,1.4629422408283932
