Time,ID,behv,com_radius,Battery,Battery Percent,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id
0.5,16,explorer,10,47519.75,100.0,18.3,3.9,-1440.6,-0.2,-0.2,0.3,12.6,11.6,-293.3,4
0.5,17,isocontour,6,47518.73,100.0,-15.5,18.5,-308.6,0.3,-0.8,0.9,-13.3,9.8,-110.3,15
0.5,18,isocontour,6,47518.49,100.0,0.4,-16.3,-712.5,-0.2,0.3,0.4,2.4,1.5,-7.7,7
0.5,19,isocontour,6,47517.39,99.99,-14.5,-10.8,-174.8,0.7,-0.5,0.9,-14.5,-10.8,-159.8,19
0.5,20,isocontour,6,47518.34,100.0,9.0,-5.2,-859.3,-0.8,-0.0,0.8,2.4,1.5,-7.7,7
0.5,21,isocontour,6,47517.2,99.99,6.5,-6.8,-749.7,-0.3,0.3,0.4,2.4,1.5,-7.7,7
0.5,Target,,,,,-19.56,1.44,-0.018,-0.31,1.3,,,,,
0.6,1,seeker,5,47515.2,99.99,13.0,12.7,-1184.735,-0.4,-0.7,0.8,12.6,11.6,-293.3,4
0.6,2,explorer,10,47519.68,100.0,-9.2,17.7,-372.6,0.0,-0.4,0.4,-13.2,9.8,-110.1,15
0.6,3,explorer,10,47515.44,99.99,11.4,-3.5,-978.3,0.6,0.1,0.6,2.4,1.5,-7.7,7
0.6,4,explorer,10,47514.9,99.99,12.4,11.1,-1113.7,-0.0,-0.8,0.8,12.6,11.6,-293.3,4
0.6,5,explorer,10,47519.75,100.0,-6.1,19.4,-505.0,-0.2,0.2,0.3,-13.3,9.8,-110.3,15
0.6,6,explorer,10,47515.09,99.99,3.2,-0.9,-517.5,0.5,-0.8,0.9,2.4,1.5,-7.7,7
0.6,7,explorer,10,47515.92,99.99,2.0,1.5,-462.7,-0.7,-0.4,0.8,2.0,1.5,-7.7,7
0.6,8,explorer,10,47519.33,100.0,14.2,15.7,-1339.4,-0.2,0.2,0.3,12.6,11.6,-293.3,4
0.6,9,explorer,10,47519.71,100.0,-7.6,-15.3,-418.1,-0.2,0.2,0.3,-7.6,-15.3,-291.0,9
0.6,10,explorer,10,47519.71,100.0,-0.2,-8.2,-463.1,-0.3,0.2,0.4,2.4,1.5,-7.7,7
0.6,11,explorer,10,47519.72,100.0,16.7,13.6,-1458.5,0.3,-0.1,0.3,12.6,11.6,-293.3,4
0.6,12,explorer,10,47519.72,100.0,2.0,-10.7,-605.4,-0.1,-0.3,0.3,2.4,1.5,-7.7,7
0.6,13,explorer,10,47516.58,99.99,3.1,4.5,-518.3,0.4,0.8,0.9,2.4,1.5,-7.7,7
0.6,14,explorer,10,47519.7,100.0,19.8,19.9,-1887.4,0.0,-0.3,0.3,12.6,11.6,-293.3,4
0.6,15,explorer,10,47519.72,100.0,-13.2,9.8,-111.4,-0.0,0.3,0.3,-13.2,9.8,-110.1,15
0.6,16,explorer,10,47519.7,100.0,18.3,3.8,-1433.2,-0.2,-0.2,0.3,12.6,11.6,-293.3,4
