Time,ID,Measurement,x,y,Ni,Linear Coverage,Abs(zi-z_goal)/range
7.9,24,0.404,-19.3,14.9,0.0,22.568,0.164
7.9,25,0.707,-1.0,-24.7,0.0,22.568,0.081
8.0,23,1.36,-15.0,-6.1,0.0,22.568,0.099
8.0,24,0.409,-19.2,15.0,0.0,22.568,0.163
8.0,25,0.71,-0.9,-24.7,0.0,22.568,0.08
8.1,23,1.376,-15.2,-5.9,0.0,22.568,0.104
8.1,24,0.417,-19.2,15.0,0.0,22.568,0.161
8.1,25,0.712,-0.8,-24.7,0.0,22.568,0.079
8.2,23,1.39,-15.3,-5.7,0.0,22.568,0.107
8.2,24,0.427,-19.2,14.9,0.0,22.568,0.158
8.2,25,0.72,-0.9,-24.7,0.0,22.568,0.077
8.3,23,1.416,-15.5,-5.5,0.0,22.568,0.115
8.3,24,0.433,-19.2,14.9,0.0,22.568,0.156
8.3,25,0.722,-0.9,-24.7,0.0,22.568,0.077
8.4,23,1.434,-15.7,-5.3,0.0,22.568,0.12
8.4,24,0.441,-19.3,14.9,0.0,22.568,0.154
8.4,25,0.729,-0.9,-24.7,0.0,22.568,0.075
8.5,23,1.45,-15.9,-5.1,0.0,22.568,0.124
8.5,24,0.447,-19.3,15.0,0.0,22.568,0.152
8.5,25,0.731,-0.9,-24.7,0.0,22.568,0.074
8.6,23,1.465,-16.0,-4.9,0.0,22.568,0.128
8.6,24,0.455,-19.2,15.0,0.0,22.568,0.15
8.6,25,0.731,-0.8,-24.7,0.0,22.568,0.074
8.7,23,1.492,-16.1,-4.8,0.0,22.568,0.136
8.7,24,0.461,-19.2,15.0,0.0,22.568,0.149
8.7,25,0.732,-0.7,-24.7,0.0,22.568,0.074
8.8,23,1.522,-16.3,-4.7,0.0,22.568,0.144
8.8,24,0.468,-19.1,15.0,0.0,22.568,0.147
8.8,25,0.732,-0.6,-24.7,0.0,22.568,0.074
8.9,23,1.534,-16.4,-4.5,0.0,22.568,0.147
8.9,24,0.477,-19.1,15.0,0.0,22.568,0.144
8.9,25,0.738,-0.7,-24.7,0.0,22.568,0.072
9.0,23,1.559,-16.5,-4.5,0.0,22.568,0.154
