Time,ID,z,Measurement,x,y,Ni,Linear Coverage,Abs(zi/z_goal),Ln(Abs(zi/z_goal))
2.7,23,,0.447,-11.3,-13.6,1.0,6.0,0.894,-0.049
2.7,24,,0.0,18.9,18.3,0.0,12.0,0.0,-inf
2.7,25,,0.014,-18.7,-9.5,0.0,12.0,0.028,-1.553
2.8,16,,0.0,-14.1,2.4,0.0,12.0,0.0,-inf
2.8,17,,0.068,3.0,8.9,0.0,12.0,0.136,-0.866
2.8,18,,0.0,7.0,-15.3,1.0,6.0,0.0,-inf
2.8,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
2.8,20,,0.998,-10.0,-9.8,2.0,4.0,1.996,0.3
2.8,21,,0.454,-11.1,-6.4,1.0,6.0,0.908,-0.042
2.8,22,,0.0,17.9,-5.2,0.0,12.0,0.0,-inf
2.8,23,,0.462,-11.2,-13.5,1.0,6.0,0.924,-0.034
2.8,24,,0.0,18.9,18.3,0.0,12.0,0.0,-inf
2.8,25,,0.014,-18.8,-9.5,0.0,12.0,0.028,-1.553
2.9,16,,0.0,-14.1,2.4,0.0,12.0,0.0,-inf
2.9,17,,0.069,3.0,8.9,0.0,12.0,0.138,-0.86
2.9,18,,0.0,7.0,-15.2,1.0,6.0,0.0,-inf
2.9,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
2.9,20,,0.999,-10.1,-9.9,2.0,4.0,1.998,0.301
2.9,21,,0.458,-11.1,-6.4,1.0,6.0,0.916,-0.038
2.9,22,,0.0,17.9,-5.1,0.0,12.0,0.0,-inf
2.9,23,,0.466,-11.2,-13.5,1.0,6.0,0.932,-0.031
2.9,24,,0.0,18.9,18.3,0.0,12.0,0.0,-inf
2.9,25,,0.014,-18.8,-9.5,0.0,12.0,0.028,-1.553
3.0,16,,0.0,-14.1,2.4,0.0,12.0,0.0,-inf
3.0,17,,0.069,3.0,8.9,0.0,12.0,0.138,-0.86
3.0,18,,0.0,7.0,-15.2,1.0,6.0,0.0,-inf
3.0,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
3.0,20,,0.998,-10.1,-9.9,2.0,4.0,1.996,0.3
3.0,21,,0.446,-11.1,-6.4,1.0,6.0,0.892,-0.05
3.0,22,,0.0,17.9,-5.1,0.0,12.0,0.0,-inf
3.0,23,,0.454,-11.3,-13.6,1.0,6.0,0.908,-0.042
3.0,24,,0.0,19.0,18.3,0.0,12.0,0.0,-inf
3.0,25,,0.014,-18.8,-9.5,0.0,12.0,0.028,-1.553
3.1,16,,0.0,-14.1,2.4,0.0,12.0,0.0,-inf
3.1,17,,0.07,3.0,9.0,0.0,12.0,0.14,-0.854
3.1,18,,0.0,7.0,-15.2,1.0,6.0,0.0,-inf
3.1,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
3.1,20,,0.998,-10.2,-9.9,2.0,4.0,1.996,0.3
3.1,21,,0.452,-11.2,-6.4,1.0,6.0,0.904,-0.044
3.1,22,,0.0,17.9,-5.1,0.0,12.0,0.0,-inf
3.1,23,,0.442,-11.3,-13.6,1.0,6.0,0.884,-0.054
3.1,24,,0.0,19.0,18.3,0.0,12.0,0.0,-inf
3.1,25,,0.013,-18.8,-9.5,0.0,12.0,0.026,-1.585
3.2,16,,0.0,-14.1,2.4,0.0,12.0,0.0,-inf
3.2,17,,0.071,3.0,9.0,0.0,12.0,0.142,-0.848
3.2,18,,0.0,6.9,-15.2,1.0,6.0,0.0,-inf
3.2,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
3.2,20,,0.996,-10.2,-9.8,2.0,4.0,1.992,0.299
3.2,21,,0.456,-11.1,-6.4,1.0,6.0,0.912,-0.04
3.2,22,,0.0,17.9,-5.2,0.0,12.0,0.0,-inf
3.2,23,,0.438,-11.3,-13.6,1.0,6.0,0.876,-0.057
3.2,24,,0.0,19.0,18.3,0.0,12.0,0.0,-inf
3.2,25,,0.014,-18.8,-9.4,0.0,12.0,0.028,-1.553
3.3,16,,0.0,-14.1,2.4,0.0,12.0,0.0,-inf
3.3,17,,0.071,3.1,9.0,0.0,12.0,0.142,-0.848
3.3,18,,0.0,6.9,-15.2,1.0,6.0,0.0,-inf
3.3,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
3.3,20,,0.996,-10.2,-9.8,2.0,4.0,1.992,0.299
3.3,21,,0.445,-11.2,-6.4,1.0,6.0,0.89,-0.051
3.3,22,,0.0,17.9,-5.2,0.0,12.0,0.0,-inf
3.3,23,,0.446,-11.2,-13.6,1.0,6.0,0.892,-0.05
