,Time Averaged Non-Dimensional Area Coverage,heterogeneity,seekers,explorers,isocontours
0,0.8394686666666666,0.2,8,5,12
0,0.8637673333333333,0.24,7,6,12
0,1.0214293333333333,0.28,6,7,12
0,0.9744813333333332,0.32,5,8,12
0,0.9568613333333336,0.36,4,9,12
0,0.8215420000000001,0.4,3,10,12
0,1.1171666666666666,0.44,2,11,12
0,1.0071006666666666,0.48,1,12,12
0,0.9238413333333334,0.0,12,0,13
0,0.8655566666666666,0.04,11,1,13
0,0.5950946666666667,0.08,10,2,13
0,0.60612,0.12,9,3,13
0,0.7346573333333333,0.16,8,4,13
0,0.8534233333333333,0.2,7,5,13
0,0.9116086666666666,0.24,6,6,13
0,0.8471826666666668,0.28,5,7,13
0,1.0371526666666666,0.32,4,8,13
0,1.037736,0.36,3,9,13
0,0.9488973333333334,0.4,2,10,13
0,0.8519373333333333,0.44,1,11,13
0,0.2722486666666666,0.0,11,0,14
0,0.5009906666666666,0.04,10,1,14
0,0.614196,0.08,9,2,14
0,0.8133626666666666,0.12,8,3,14
0,0.7548360000000001,0.16,7,4,14
0,0.776344,0.2,6,5,14
0,0.8105526666666666,0.24,5,6,14
0,0.9965153333333332,0.28,4,7,14
0,1.0406106666666666,0.32,3,8,14
0,0.9197573333333332,0.36,2,9,14
0,0.8980346666666668,0.4,1,10,14
0,0.2261599999999999,0.0,10,0,15
0,0.6410113333333334,0.04,9,1,15
0,0.5464793333333333,0.08,8,2,15
0,0.6911606666666666,0.12,7,3,15
0,0.7332273333333332,0.16,6,4,15
0,0.7892086666666668,0.2,5,5,15
0,0.9531053333333332,0.24,4,6,15
0,1.0181806666666668,0.28,3,7,15
0,0.9466986666666668,0.32,2,8,15
0,0.9459193333333332,0.36,1,9,15
0,0.5427099999999999,0.0,9,0,16
0,0.4960073333333333,0.04,8,1,16
0,0.5976499999999999,0.08,7,2,16
0,0.6217239999999999,0.12,6,3,16
0,0.7961253333333334,0.16,5,4,16
0,0.7529233333333333,0.2,4,5,16
0,0.8508953333333333,0.24,3,6,16
0,0.8835,0.28,2,7,16
0,0.9674786666666668,0.32,1,8,16
0,0.4816173333333333,0.0,8,0,17
0,0.4263266666666667,0.04,7,1,17
0,0.583616,0.08,6,2,17
0,0.6549666666666667,0.12,5,3,17
0,0.645354,0.16,4,4,17
0,0.84396,0.2,3,5,17
0,0.8316793333333333,0.24,2,6,17
0,0.690986,0.28,1,7,17
0,0.5121986666666667,0.0,7,0,18
0,0.554506,0.04,6,1,18
0,0.6192933333333333,0.08,5,2,18
0,0.6183986666666667,0.12,4,3,18
0,0.6672506666666668,0.16,3,4,18
0,0.9361393333333332,0.2,2,5,18
0,0.775892,0.24,1,6,18
0,0.3169886666666666,0.0,6,0,19
0,0.4010006666666666,0.04,5,1,19
0,0.862172,0.08,4,2,19
0,0.5295453333333333,0.12,3,3,19
0,0.7421753333333333,0.16,2,4,19
0,0.5723906666666667,0.2,1,5,19
0,0.4674239999999999,0.0,5,0,20
0,0.4175713333333333,0.04,4,1,20
0,0.5544553333333333,0.08,3,2,20
0,0.7737539999999999,0.12,2,3,20
0,0.5832026666666665,0.16,1,4,20
0,0.4959199999999999,0.0,4,0,21
0,0.5250480000000001,0.04,3,1,21
0,0.5539633333333333,0.08,2,2,21
0,0.9736706666666668,0.12,1,3,21
0,0.4840733333333332,0.0,3,0,22
0,0.3711353333333333,0.04,2,1,22
0,0.6823013333333332,0.08,1,2,22
0,0.3527586666666666,0.0,2,0,23
0,0.63727,0.04,1,1,23
0,0.370202,0.0,1,0,24
