,Proximity Threshold,Time to Target,Time on Target,Average Time on Target,Adjusted Time on Target,heterogeneity,Seekers,Explorers,Isocontours
0,0.1,0.075,1.266666666666667,0.6333333333333335,1.266666666666667,0.56,3,14,8
0,0.1,0.005,3.599999999999998,2.6999999999999984,5.399999999999997,0.6,2,15,8
0,0.1,,,,,0.64,1,16,8
0,0.1,0.034,21.333333333333456,2.0000000000000115,4.000000000000023,0.0,16,0,9
0,0.1,0.0,3.399999999999999,0.3399999999999998,0.6799999999999997,0.04,15,1,9
0,0.1,0.023,24.933333333333508,2.67142857142859,5.34285714285718,0.08,14,2,9
0,0.1,0.005,21.400000000000123,2.469230769230784,4.938461538461567,0.12,13,3,9
0,0.1,0.015,27.33333333333354,3.4166666666666927,6.833333333333385,0.16,12,4,9
0,0.1,,,,,0.2,11,5,9
0,0.1,0.012,23.26666666666681,3.4900000000000224,6.980000000000045,0.24,10,6,9
0,0.1,0.021,7.533333333333317,1.2555555555555529,2.5111111111111057,0.28,9,7,9
0,0.1,0.029,0.0,0.0,0.0,0.32,8,8,9
0,0.1,0.09,0.7333333333333333,0.1571428571428571,0.3142857142857142,0.36,7,9,9
0,0.1,0.0,10.933333333333309,2.733333333333327,5.466666666666654,0.4,6,10,9
0,0.1,0.244,1.8000000000000005,0.5400000000000003,1.0800000000000003,0.44,5,11,9
0,0.1,0.017,2.7333333333333343,1.0250000000000004,2.0500000000000007,0.48,4,12,9
0,0.1,0.03,3.399999999999999,1.6999999999999993,3.3999999999999986,0.52,3,13,9
0,0.1,0.003,0.9333333333333336,0.7000000000000001,1.4,0.56,2,14,9
0,0.1,,,,,0.6,1,15,9
0,0.1,0.0,3.999999999999997,0.3999999999999996,0.7999999999999993,0.0,15,0,10
0,0.1,,,,,0.04,14,1,10
0,0.1,0.025,3.466666666666665,0.3999999999999998,0.7999999999999996,0.08,13,2,10
0,0.1,0.011,26.00000000000019,3.2500000000000235,6.500000000000047,0.12,12,3,10
0,0.1,0.018,11.666666666666654,1.590909090909089,3.181818181818178,0.16,11,4,10
0,0.1,0.009,52.26666666666655,7.839999999999982,15.679999999999964,0.2,10,5,10
0,0.1,,,,,0.24,9,6,10
0,0.1,0.002,7.666666666666649,1.437499999999997,2.874999999999994,0.28,8,7,10
0,0.1,0.077,8.79999999999998,1.8857142857142808,3.7714285714285625,0.32,7,8,10
0,0.1,0.014,117.33333333332952,29.33333333333238,58.66666666666476,0.36,6,9,10
0,0.1,0.017,11.333333333333314,3.399999999999994,6.799999999999988,0.4,5,10,10
0,0.1,0.0,7.466666666666651,2.799999999999994,5.599999999999988,0.44,4,11,10
0,0.1,0.0,1.6666666666666674,0.8333333333333336,1.6666666666666672,0.48,3,12,10
0,0.1,0.023,12.733333333333336,9.55,19.1,0.52,2,13,10
0,0.1,0.098,6.73333333333332,10.09999999999998,20.19999999999996,0.56,1,14,10
0,0.1,0.0,88.93333333333115,9.528571428571194,19.057142857142388,0.0,14,0,11
0,0.1,0.004,18.066666666666745,2.0846153846153936,4.169230769230787,0.04,13,1,11
0,0.1,0.001,3.1999999999999997,0.3999999999999999,0.7999999999999998,0.08,12,2,11
0,0.1,0.146,0.1333333333333333,0.0181818181818181,0.0363636363636363,0.12,11,3,11
0,0.1,0.002,14.866666666666696,2.230000000000005,4.46000000000001,0.16,10,4,11
0,0.1,0.021,9.399999999999975,1.5666666666666629,3.1333333333333258,0.2,9,5,11
0,0.1,0.023,4.399999999999995,0.8249999999999991,1.649999999999998,0.24,8,6,11
0,0.1,0.005,12.6,2.7,5.4,0.28,7,7,11
0,0.1,0.036,12.199999999999992,3.0499999999999985,6.099999999999997,0.32,6,8,11
0,0.1,0.0,3.2666666666666657,0.9799999999999998,1.9599999999999995,0.36,5,9,11
0,0.1,0.0,34.80000000000032,13.050000000000118,26.10000000000024,0.4,4,10,11
0,0.1,0.05,1.266666666666667,0.6333333333333335,1.266666666666667,0.44,3,11,11
0,0.1,0.041,11.599999999999984,8.699999999999989,17.399999999999977,0.48,2,12,11
0,0.1,,,,,0.52,1,13,11
0,0.1,0.0,13.133333333333342,1.5153846153846162,3.0307692307692324,0.0,13,0,12
0,0.1,0.023,74.93333333333193,9.366666666666491,18.733333333332983,0.04,12,1,12
0,0.1,0.095,1.933333333333334,0.2636363636363637,0.5272727272727274,0.08,11,2,12
0,0.1,0.0,1.866666666666668,0.2800000000000001,0.5600000000000003,0.12,10,3,12
0,0.1,0.509,36.266666666667,6.0444444444445,12.088888888889,0.16,9,4,12
0,0.1,0.0,29.20000000000024,5.475000000000044,10.950000000000088,0.2,8,5,12
0,0.1,0.013,22.200000000000134,4.757142857142886,9.514285714285773,0.24,7,6,12
0,0.1,0.025,11.666666666666654,2.916666666666663,5.833333333333326,0.28,6,7,12
0,0.1,0.207,0.5333333333333333,0.1599999999999999,0.3199999999999999,0.32,5,8,12
0,0.1,0.07,3.5333333333333314,1.3249999999999993,2.6499999999999986,0.36,4,9,12
0,0.1,0.017,2.5333333333333345,1.2666666666666673,2.5333333333333345,0.4,3,10,12
0,0.1,0.021,2.133333333333334,1.6000000000000008,3.200000000000001,0.44,2,11,12
0,0.1,0.016,0.7333333333333333,1.1,2.2,0.48,1,12,12
0,0.1,0.011,90.0666666666644,11.25833333333305,22.5166666666661,0.0,12,0,13
0,0.1,0.0,8.133333333333315,1.109090909090907,2.2181818181818134,0.04,11,1,13
0,0.1,0.0,6.3333333333333215,0.9499999999999982,1.8999999999999964,0.08,10,2,13
0,0.1,0.033,23.600000000000158,3.9333333333333593,7.866666666666719,0.12,9,3,13
0,0.1,0.0,17.133333333333397,3.212500000000012,6.425000000000024,0.16,8,4,13
0,0.1,0.019,12.6,2.7,5.4,0.2,7,5,13
0,0.1,0.035,0.0,0.0,0.0,0.24,6,6,13
