,Time Averaged Accuracy,Time Averaged Spreading,Heterogeneity,seekers,explorers,isocontours
0,0.0698793333333333,1.7482506666666668,0.12,12,3,10
0,0.0214906666666666,1.3030179999999998,0.16,11,4,10
0,0.0566613333333333,0.83987,0.2,10,5,10
0,0.0298586666666666,1.0564373333333337,0.24,9,6,10
0,0.0793513333333333,0.9720993333333332,0.28,8,7,10
0,0.0188546666666666,1.2022633333333332,0.32,7,8,10
0,0.05295,0.5815713333333333,0.36,6,9,10
0,0.0483373333333333,1.4491573333333332,0.4,5,10,10
0,0.0591353333333333,1.051304,0.44,4,11,10
0,0.0223333333333333,1.4186506666666667,0.48,3,12,10
0,0.0738159999999999,0.5001853333333334,0.52,2,13,10
0,0.0757673333333333,0.5191393333333334,0.56,1,14,10
0,0.1128066666666666,0.6733086666666667,0.0,14,0,11
0,0.0296786666666666,0.944754,0.04,13,1,11
0,0.0285966666666666,1.033902,0.08,12,2,11
0,0.04503,0.6749046666666667,0.12,11,3,11
0,0.06874,2.0613946666666667,0.16,10,4,11
0,0.03635,1.1243086666666666,0.2,9,5,11
0,0.0265886666666666,1.267683333333333,0.24,8,6,11
0,0.0273313333333333,0.9727573333333334,0.28,7,7,11
0,0.057882,1.0789973333333331,0.32,6,8,11
0,0.0828253333333333,1.6643686666666666,0.36,5,9,11
0,0.0769053333333333,0.5435773333333334,0.4,4,10,11
0,0.045982,0.9491133333333334,0.44,3,11,11
0,0.0366193333333333,1.008258,0.48,2,12,11
0,0.0195566666666666,1.0744693333333335,0.52,1,13,11
0,0.0307673333333333,0.691958,0.0,13,0,12
0,0.0762633333333333,0.682368,0.04,12,1,12
0,0.032104,0.8235866666666667,0.08,11,2,12
0,0.0242806666666666,0.99751,0.12,10,3,12
0,0.020692,1.0234953333333332,0.16,9,4,12
0,0.0437246666666666,0.695864,0.2,8,5,12
0,0.0691473333333333,1.0114960000000002,0.24,7,6,12
0,0.0799486666666666,0.5879553333333333,0.28,6,7,12
0,0.0421593333333333,0.9458166666666666,0.32,5,8,12
0,0.0195639999999999,1.0521106666666666,0.36,4,9,12
0,0.0198753333333333,1.0882173333333334,0.4,3,10,12
0,0.0220866666666666,1.022495333333333,0.44,2,11,12
0,0.04413,1.089296,0.48,1,12,12
0,0.068028,0.6746833333333333,0.0,12,0,13
0,0.0909333333333333,0.756864,0.04,11,1,13
0,0.052288,1.303408,0.08,10,2,13
0,0.0477646666666666,0.80772,0.12,9,3,13
0,0.0553286666666666,1.231256,0.16,8,4,13
0,0.0208686666666666,0.8097966666666668,0.2,7,5,13
0,0.0434006666666666,0.6484106666666667,0.24,6,6,13
0,0.0252506666666666,0.983622,0.28,5,7,13
0,0.0275873333333333,0.9942946666666668,0.32,4,8,13
0,0.0342933333333333,0.6149013333333334,0.36,3,9,13
0,0.0326966666666666,0.8870773333333333,0.4,2,10,13
0,0.0331273333333333,0.8336853333333334,0.44,1,11,13
0,0.0254326666666666,1.6310506666666666,0.0,11,0,14
0,0.0250953333333333,0.8754986666666666,0.04,10,1,14
0,0.0372013333333333,1.411112,0.08,9,2,14
0,0.0370406666666666,0.8511426666666666,0.12,8,3,14
0,0.0251893333333333,0.982466,0.16,7,4,14
0,0.073624,1.010226,0.2,6,5,14
0,0.0353106666666666,0.7869293333333334,0.24,5,6,14
0,0.0277166666666666,0.6190773333333334,0.28,4,7,14
0,0.0339193333333333,0.8682920000000001,0.32,3,8,14
0,0.07188,1.0031246666666669,0.36,2,9,14
0,0.0189833333333333,0.8352606666666668,0.4,1,10,14
0,0.0272126666666666,1.494365333333333,0.0,10,0,15
0,0.0603626666666666,1.2483693333333332,0.04,9,1,15
0,0.0428593333333333,1.5647693333333332,0.08,8,2,15
0,0.0328386666666666,0.7950446666666666,0.12,7,3,15
0,0.0772259999999999,1.1974633333333335,0.16,6,4,15
0,0.0433706666666666,0.7929493333333333,0.2,5,5,15
0,0.028646,1.0604453333333337,0.24,4,6,15
0,0.0207153333333333,0.9751506666666668,0.28,3,7,15
0,0.0258639999999999,0.8756966666666666,0.32,2,8,15
0,0.0786693333333333,1.0613186666666667,0.36,1,9,15
0,0.0905733333333333,1.0709873333333335,0.0,9,0,16
0,0.0373286666666666,0.9610753333333332,0.04,8,1,16
0,0.0247413333333333,0.9189873333333334,0.08,7,2,16
0,0.072216,0.936508,0.12,6,3,16
0,0.0453433333333333,0.721692,0.16,5,4,16
0,0.0232446666666666,0.99898,0.2,4,5,16
0,0.0214753333333333,0.857798,0.24,3,6,16
0,0.0438786666666666,0.5612686666666666,0.28,2,7,16
0,0.0242406666666666,0.8402400000000001,0.32,1,8,16
0,0.0553739999999999,1.1824,0.0,8,0,17
0,0.0253106666666666,0.9077113333333332,0.04,7,1,17
0,0.0225406666666666,0.9117026666666668,0.08,6,2,17
0,0.0704233333333333,1.3733213333333334,0.12,5,3,17
0,0.02181,0.7793620000000001,0.16,4,4,17
0,0.0264073333333333,0.7601686666666668,0.2,3,5,17
0,0.0397573333333333,1.0797313333333334,0.24,2,6,17
0,0.0332226666666666,0.8293826666666667,0.28,1,7,17
0,0.031168,0.5551240000000001,0.0,7,0,18
0,0.0431013333333333,0.8989046666666667,0.04,6,1,18
0,0.026656,0.5859513333333334,0.08,5,2,18
0,0.0267866666666666,0.7897213333333333,0.12,4,3,18
0,0.023984,0.9925406666666668,0.16,3,4,18
0,0.06389,0.5624886666666666,0.2,2,5,18
0,0.0722926666666666,1.038212666666667,0.24,1,6,18
0,0.0271513333333333,0.9453446666666668,0.0,6,0,19
0,0.0237493333333333,0.8804706666666667,0.04,5,1,19
0,0.079152,0.6458653333333333,0.08,4,2,19
0,0.0264866666666666,0.8585039999999999,0.12,3,3,19
0,0.046528,0.832728,0.16,2,4,19
0,0.0779206666666666,1.2030026666666669,0.2,1,5,19
0,0.057178,0.4264193333333332,0.0,5,0,20
0,0.024754,0.9935726666666668,0.04,4,1,20
0,0.100736,1.1989599999999998,0.08,3,2,20
0,0.0318326666666666,0.622706,0.12,2,3,20
0,0.1049333333333333,1.290342,0.16,1,4,20
0,0.0311053333333333,0.7033406666666666,0.0,4,0,21
0,0.0193386666666666,0.9718853333333332,0.04,3,1,21
0,0.0350146666666666,0.7177433333333333,0.08,2,2,21
0,0.039546,0.667696,0.12,1,3,21
0,0.022832,0.8138593333333332,0.0,3,0,22
0,0.0215173333333333,0.8197033333333332,0.04,2,1,22
0,0.033804,0.5539806666666667,0.08,1,2,22
0,0.0794786666666666,1.1301,0.0,2,0,23
0,0.096432,0.5337666666666667,0.04,1,1,23
0,0.1009206666666666,1.4392053333333332,0.0,1,0,24
