Time,ID,behv,N,comm_area,Area Coverage
128.4,1,seeker,2.0,2000.0,666.667
128.4,2,seeker,2.0,2000.0,666.667
128.4,3,explorer,0.0,2000.0,2000.0
128.4,4,explorer,2.0,2000.0,666.667
128.4,5,explorer,0.0,2000.0,2000.0
128.4,Target,,,,
128.5,1,seeker,2.0,2000.0,666.667
128.5,2,seeker,2.0,2000.0,666.667
128.5,3,explorer,0.0,2000.0,2000.0
128.5,4,explorer,2.0,2000.0,666.667
128.5,5,explorer,0.0,2000.0,2000.0
128.5,Target,,,,
128.6,1,seeker,2.0,2000.0,666.667
128.6,2,seeker,2.0,2000.0,666.667
128.6,3,explorer,0.0,2000.0,2000.0
128.6,4,explorer,2.0,2000.0,666.667
128.6,5,explorer,0.0,2000.0,2000.0
128.6,Target,,,,
128.7,1,seeker,2.0,2000.0,666.667
128.7,2,seeker,2.0,2000.0,666.667
128.7,3,explorer,0.0,2000.0,2000.0
128.7,4,explorer,2.0,2000.0,666.667
128.7,5,explorer,0.0,2000.0,2000.0
128.7,Target,,,,
128.8,1,seeker,2.0,2000.0,666.667
128.8,2,seeker,2.0,2000.0,666.667
128.8,3,explorer,0.0,2000.0,2000.0
128.8,4,explorer,2.0,2000.0,666.667
128.8,5,explorer,0.0,2000.0,2000.0
128.8,Target,,,,
128.9,1,seeker,2.0,2000.0,666.667
128.9,2,seeker,2.0,2000.0,666.667
128.9,3,explorer,0.0,2000.0,2000.0
128.9,4,explorer,2.0,2000.0,666.667
128.9,5,explorer,0.0,2000.0,2000.0
128.9,Target,,,,
129.0,1,seeker,2.0,2000.0,666.667
129.0,2,seeker,2.0,2000.0,666.667
129.0,3,explorer,0.0,2000.0,2000.0
129.0,4,explorer,2.0,2000.0,666.667
129.0,5,explorer,0.0,2000.0,2000.0
129.0,Target,,,,
129.1,1,seeker,2.0,2000.0,666.667
129.1,2,seeker,2.0,2000.0,666.667
129.1,3,explorer,0.0,2000.0,2000.0
129.1,4,explorer,2.0,2000.0,666.667
129.1,5,explorer,0.0,2000.0,2000.0
129.1,Target,,,,
129.2,1,seeker,2.0,2000.0,666.667
129.2,2,seeker,2.0,2000.0,666.667
129.2,3,explorer,0.0,2000.0,2000.0
129.2,4,explorer,2.0,2000.0,666.667
129.2,5,explorer,0.0,2000.0,2000.0
129.2,Target,,,,
129.3,1,seeker,2.0,2000.0,666.667
129.3,2,seeker,2.0,2000.0,666.667
129.3,3,explorer,0.0,2000.0,2000.0
129.3,4,explorer,2.0,2000.0,666.667
129.3,5,explorer,0.0,2000.0,2000.0
129.3,Target,,,,
129.4,1,seeker,2.0,2000.0,666.667
129.4,2,seeker,2.0,2000.0,666.667
129.4,3,explorer,0.0,2000.0,2000.0
129.4,4,explorer,2.0,2000.0,666.667
129.4,5,explorer,0.0,2000.0,2000.0
129.4,Target,,,,
129.5,1,seeker,2.0,2000.0,666.667
129.5,2,seeker,2.0,2000.0,666.667
129.5,3,explorer,0.0,2000.0,2000.0
129.5,4,explorer,2.0,2000.0,666.667
129.5,5,explorer,0.0,2000.0,2000.0
129.5,Target,,,,
129.6,1,seeker,2.0,2000.0,666.667
129.6,2,seeker,2.0,2000.0,666.667
129.6,3,explorer,0.0,2000.0,2000.0
129.6,4,explorer,2.0,2000.0,666.667
129.6,5,explorer,0.0,2000.0,2000.0
129.6,Target,,,,
129.7,1,seeker,2.0,2000.0,666.667
129.7,2,seeker,2.0,2000.0,666.667
129.7,3,explorer,0.0,2000.0,2000.0
129.7,4,explorer,2.0,2000.0,666.667
129.7,5,explorer,0.0,2000.0,2000.0
129.7,Target,,,,
129.8,1,seeker,2.0,2000.0,666.667
129.8,2,seeker,2.0,2000.0,666.667
129.8,3,explorer,0.0,2000.0,2000.0
129.8,4,explorer,2.0,2000.0,666.667
129.8,5,explorer,0.0,2000.0,2000.0
129.8,Target,,,,
129.9,1,seeker,2.0,2000.0,666.667
129.9,2,seeker,2.0,2000.0,666.667
129.9,3,explorer,0.0,2000.0,2000.0
129.9,4,explorer,2.0,2000.0,666.667
129.9,5,explorer,0.0,2000.0,2000.0
129.9,Target,,,,
130.0,1,seeker,2.0,2000.0,666.667
130.0,2,seeker,2.0,2000.0,666.667
130.0,3,explorer,0.0,2000.0,2000.0
130.0,4,explorer,2.0,2000.0,666.667
130.0,5,explorer,0.0,2000.0,2000.0
130.0,Target,,,,
130.1,1,seeker,2.0,2000.0,666.667
130.1,2,seeker,2.0,2000.0,666.667
130.1,3,explorer,0.0,2000.0,2000.0
130.1,4,explorer,2.0,2000.0,666.667
130.1,5,explorer,0.0,2000.0,2000.0
130.1,Target,,,,
130.2,1,seeker,2.0,2000.0,666.667
130.2,2,seeker,2.0,2000.0,666.667
130.2,3,explorer,0.0,2000.0,2000.0
130.2,4,explorer,2.0,2000.0,666.667
130.2,5,explorer,0.0,2000.0,2000.0
130.2,Target,,,,
130.3,1,seeker,2.0,2000.0,666.667
130.3,2,seeker,2.0,2000.0,666.667
130.3,3,explorer,0.0,2000.0,2000.0
130.3,4,explorer,2.0,2000.0,666.667
130.3,5,explorer,0.0,2000.0,2000.0
130.3,Target,,,,
130.4,1,seeker,2.0,2000.0,666.667
130.4,2,seeker,2.0,2000.0,666.667
130.4,3,explorer,0.0,2000.0,2000.0
130.4,4,explorer,2.0,2000.0,666.667
130.4,5,explorer,0.0,2000.0,2000.0
130.4,Target,,,,
130.5,1,seeker,2.0,2000.0,666.667
130.5,2,seeker,2.0,2000.0,666.667
130.5,3,explorer,0.0,2000.0,2000.0
130.5,4,explorer,2.0,2000.0,666.667
130.5,5,explorer,0.0,2000.0,2000.0
130.5,Target,,,,
130.6,1,seeker,2.0,2000.0,666.667
130.6,2,seeker,2.0,2000.0,666.667
130.6,3,explorer,0.0,2000.0,2000.0
130.6,4,explorer,2.0,2000.0,666.667
130.6,5,explorer,0.0,2000.0,2000.0
130.6,Target,,,,
130.7,1,seeker,2.0,2000.0,666.667
130.7,2,seeker,2.0,2000.0,666.667
130.7,3,explorer,0.0,2000.0,2000.0
130.7,4,explorer,2.0,2000.0,666.667
130.7,5,explorer,0.0,2000.0,2000.0
130.7,Target,,,,
130.8,1,seeker,2.0,2000.0,666.667
130.8,2,seeker,2.0,2000.0,666.667
130.8,3,explorer,0.0,2000.0,2000.0
130.8,4,explorer,2.0,2000.0,666.667
130.8,5,explorer,0.0,2000.0,2000.0
130.8,Target,,,,
130.9,1,seeker,2.0,2000.0,666.667
130.9,2,seeker,2.0,2000.0,666.667
130.9,3,explorer,0.0,2000.0,2000.0
130.9,4,explorer,2.0,2000.0,666.667
130.9,5,explorer,0.0,2000.0,2000.0
130.9,Target,,,,
131.0,1,seeker,2.0,2000.0,666.667
131.0,2,seeker,2.0,2000.0,666.667
131.0,3,explorer,0.0,2000.0,2000.0
131.0,4,explorer,2.0,2000.0,666.667
131.0,5,explorer,0.0,2000.0,2000.0
131.0,Target,,,,
131.1,1,seeker,2.0,2000.0,666.667
131.1,2,seeker,2.0,2000.0,666.667
131.1,3,explorer,0.0,2000.0,2000.0
131.1,4,explorer,2.0,2000.0,666.667
131.1,5,explorer,0.0,2000.0,2000.0
131.1,Target,,,,
131.2,1,seeker,2.0,2000.0,666.667
131.2,2,seeker,2.0,2000.0,666.667
131.2,3,explorer,0.0,2000.0,2000.0
131.2,4,explorer,2.0,2000.0,666.667
131.2,5,explorer,0.0,2000.0,2000.0
131.2,Target,,,,
131.3,1,seeker,2.0,2000.0,666.667
131.3,2,seeker,2.0,2000.0,666.667
131.3,3,explorer,0.0,2000.0,2000.0
131.3,4,explorer,2.0,2000.0,666.667
131.3,5,explorer,0.0,2000.0,2000.0
131.3,Target,,,,
131.4,1,seeker,2.0,2000.0,666.667
131.4,2,seeker,2.0,2000.0,666.667
131.4,3,explorer,0.0,2000.0,2000.0
131.4,4,explorer,2.0,2000.0,666.667
131.4,5,explorer,0.0,2000.0,2000.0
131.4,Target,,,,
131.5,1,seeker,2.0,2000.0,666.667
131.5,2,seeker,2.0,2000.0,666.667
131.5,3,explorer,0.0,2000.0,2000.0
131.5,4,explorer,2.0,2000.0,666.667
131.5,5,explorer,0.0,2000.0,2000.0
131.5,Target,,,,
131.6,1,seeker,2.0,2000.0,666.667
131.6,2,seeker,2.0,2000.0,666.667
131.6,3,explorer,0.0,2000.0,2000.0
131.6,4,explorer,2.0,2000.0,666.667
131.6,5,explorer,0.0,2000.0,2000.0
131.6,Target,,,,
131.7,1,seeker,2.0,2000.0,666.667
131.7,2,seeker,2.0,2000.0,666.667
131.7,3,explorer,0.0,2000.0,2000.0
131.7,4,explorer,2.0,2000.0,666.667
131.7,5,explorer,0.0,2000.0,2000.0
131.7,Target,,,,
131.8,1,seeker,2.0,2000.0,666.667
131.8,2,seeker,2.0,2000.0,666.667
131.8,3,explorer,0.0,2000.0,2000.0
131.8,4,explorer,2.0,2000.0,666.667
131.8,5,explorer,0.0,2000.0,2000.0
131.8,Target,,,,
131.9,1,seeker,2.0,2000.0,666.667
131.9,2,seeker,2.0,2000.0,666.667
131.9,3,explorer,0.0,2000.0,2000.0
131.9,4,explorer,2.0,2000.0,666.667
131.9,5,explorer,0.0,2000.0,2000.0
131.9,Target,,,,
132.0,1,seeker,2.0,2000.0,666.667
132.0,2,seeker,2.0,2000.0,666.667
132.0,3,explorer,0.0,2000.0,2000.0
132.0,4,explorer,2.0,2000.0,666.667
132.0,5,explorer,0.0,2000.0,2000.0
132.0,Target,,,,
132.1,1,seeker,2.0,2000.0,666.667
132.1,2,seeker,2.0,2000.0,666.667
132.1,3,explorer,0.0,2000.0,2000.0
132.1,4,explorer,2.0,2000.0,666.667
132.1,5,explorer,0.0,2000.0,2000.0
132.1,Target,,,,
132.2,1,seeker,2.0,2000.0,666.667
132.2,2,seeker,2.0,2000.0,666.667
132.2,3,explorer,0.0,2000.0,2000.0
132.2,4,explorer,2.0,2000.0,666.667
132.2,5,explorer,0.0,2000.0,2000.0
132.2,Target,,,,
132.3,1,seeker,2.0,2000.0,666.667
132.3,2,seeker,2.0,2000.0,666.667
132.3,3,explorer,0.0,2000.0,2000.0
132.3,4,explorer,2.0,2000.0,666.667
132.3,5,explorer,0.0,2000.0,2000.0
132.3,Target,,,,
132.4,1,seeker,2.0,2000.0,666.667
132.4,2,seeker,2.0,2000.0,666.667
132.4,3,explorer,0.0,2000.0,2000.0
132.4,4,explorer,2.0,2000.0,666.667
132.4,5,explorer,0.0,2000.0,2000.0
132.4,Target,,,,
132.5,1,seeker,2.0,2000.0,666.667
132.5,2,seeker,2.0,2000.0,666.667
132.5,3,explorer,0.0,2000.0,2000.0
132.5,4,explorer,2.0,2000.0,666.667
132.5,5,explorer,0.0,2000.0,2000.0
132.5,Target,,,,
132.6,1,seeker,2.0,2000.0,666.667
132.6,2,seeker,2.0,2000.0,666.667
132.6,3,explorer,0.0,2000.0,2000.0
132.6,4,explorer,2.0,2000.0,666.667
132.6,5,explorer,0.0,2000.0,2000.0
132.6,Target,,,,
132.7,1,seeker,2.0,2000.0,666.667
132.7,2,seeker,2.0,2000.0,666.667
132.7,3,explorer,0.0,2000.0,2000.0
132.7,4,explorer,2.0,2000.0,666.667
132.7,5,explorer,0.0,2000.0,2000.0
132.7,Target,,,,
132.8,1,seeker,2.0,2000.0,666.667
132.8,2,seeker,2.0,2000.0,666.667
132.8,3,explorer,0.0,2000.0,2000.0
132.8,4,explorer,2.0,2000.0,666.667
132.8,5,explorer,0.0,2000.0,2000.0
132.8,Target,,,,
132.9,1,seeker,2.0,2000.0,666.667
132.9,2,seeker,2.0,2000.0,666.667
132.9,3,explorer,0.0,2000.0,2000.0
132.9,4,explorer,2.0,2000.0,666.667
132.9,5,explorer,0.0,2000.0,2000.0
132.9,Target,,,,
133.0,1,seeker,2.0,2000.0,666.667
133.0,2,seeker,2.0,2000.0,666.667
133.0,3,explorer,0.0,2000.0,2000.0
