Time,ID,x,y,u,v,x_target,y_target,error_x,error_y,Distance to Target,Time/Total Time,Non-Dimensional Target Proximity,error_x_norm,error_y_norm,Heading-Bearing Correlation
0.28,4,19.6,-0.3,-0.4,0.1,-4.06,-17.87,-23.66,-17.57,29.47,0.003,0.737,-0.803,-0.596,0.6349514563106797
0.29,1,-3.0,-1.6,0.0,0.5,-4.06,-17.89,-1.06,-16.29,16.324,0.003,0.408,-0.065,-0.998,-0.998
0.29,2,-18.3,-4.5,0.2,0.3,-4.06,-17.89,14.24,-13.39,19.547,0.003,0.489,0.729,-0.685,-0.16537396121883657
0.29,3,-0.5,-8.4,-0.1,0.5,-4.06,-17.89,-3.56,-9.49,10.136,0.003,0.253,-0.351,-0.936,-0.8488235294117648
0.29,4,19.6,-0.3,-0.5,0.3,-4.06,-17.89,-23.66,-17.59,29.482,0.003,0.737,-0.803,-0.597,0.38147512864494004
0.3,1,-3.0,-1.6,0.1,-0.9,-4.05,-17.9,-1.05,-16.3,16.334,0.003,0.408,-0.064,-0.998,0.984326710816777
0.3,2,-18.3,-4.5,0.2,0.2,-4.05,-17.9,14.25,-13.4,19.561,0.003,0.489,0.728,-0.685,0.03038869257950529
0.3,3,-0.5,-8.4,-0.3,0.3,-4.05,-17.9,-3.55,-9.5,10.142,0.003,0.254,-0.35,-0.937,-0.41533018867924537
0.3,4,19.6,-0.3,-0.5,0.1,-4.05,-17.9,-23.65,-17.6,29.48,0.003,0.737,-0.802,-0.597,0.6692156862745099
0.31,1,-3.0,-1.6,-0.2,0.5,-4.05,-17.91,-1.05,-16.31,16.344,0.003,0.409,-0.064,-0.998,-0.9020408163265305
0.31,2,-18.3,-4.5,0.2,0.3,-4.05,-17.91,14.25,-13.41,19.568,0.003,0.489,0.728,-0.685,-0.16592797783933522
0.31,3,-0.5,-8.4,-0.1,0.3,-4.05,-17.91,-3.55,-9.51,10.151,0.003,0.254,-0.35,-0.937,-0.7787974683544304
0.31,4,19.6,-0.3,-0.4,0.3,-4.05,-17.91,-23.65,-17.61,29.486,0.003,0.737,-0.802,-0.597,0.2834000000000001
0.32,1,-3.0,-1.6,0.1,0.3,-4.07,-17.91,-1.07,-16.31,16.345,0.003,0.409,-0.065,-0.998,-0.9680379746835444
0.32,2,-18.3,-4.5,0.2,0.3,-4.07,-17.91,14.23,-13.41,19.553,0.003,0.489,0.728,-0.686,-0.16675900277008313
0.32,3,-0.5,-8.4,-0.3,0.4,-4.07,-17.91,-3.57,-9.51,10.158,0.003,0.254,-0.351,-0.936,-0.5382000000000001
0.32,4,19.6,-0.3,-0.3,0.2,-4.07,-17.91,-23.67,-17.61,29.502,0.003,0.738,-0.802,-0.597,0.33573407202216066
0.33,1,-3.0,-1.6,-0.2,-0.8,-4.05,-17.91,-1.05,-16.31,16.344,0.003,0.409,-0.064,-0.998,0.9832727272727274
0.33,2,-18.3,-4.5,0.4,0.3,-4.05,-17.91,14.25,-13.41,19.568,0.003,0.489,0.728,-0.685,0.1714
0.33,3,-0.5,-8.4,-0.2,0.3,-4.05,-17.91,-3.55,-9.51,10.151,0.003,0.254,-0.35,-0.937,-0.5847645429362881
0.33,4,19.6,-0.3,-0.4,0.1,-4.05,-17.91,-23.65,-17.61,29.486,0.003,0.737,-0.802,-0.597,0.63373786407767
0.34,1,-3.0,-1.6,0.2,0.3,-4.06,-17.91,-1.06,-16.31,16.344,0.003,0.409,-0.065,-0.998,-0.8653739612188366
0.34,2,-18.3,-4.5,0.4,0.4,-4.06,-17.91,14.24,-13.41,19.56,0.003,0.489,0.728,-0.686,0.029681978798586542
0.34,3,-0.5,-8.4,-0.3,0.3,-4.06,-17.91,-3.56,-9.51,10.154,0.003,0.254,-0.351,-0.937,-0.414622641509434
0.34,4,19.6,-0.3,-0.3,0.2,-4.06,-17.91,-23.66,-17.61,29.494,0.003,0.737,-0.802,-0.597,0.33573407202216066
0.35,1,-3.0,-1.6,-0.1,0.5,-4.08,-17.91,-1.08,-16.31,16.346,0.003,0.409,-0.066,-0.998,-0.9654901960784313
0.35,2,-18.3,-4.5,0.2,0.3,-4.08,-17.91,14.22,-13.41,19.546,0.003,0.489,0.728,-0.686,-0.16675900277008313
0.35,3,-0.5,-8.4,-0.1,0.4,-4.08,-17.91,-3.58,-9.51,10.162,0.003,0.254,-0.352,-0.936,-0.8233009708737866
0.35,4,19.6,-0.3,-0.3,0.2,-4.08,-17.91,-23.68,-17.61,29.51,0.003,0.738,-0.802,-0.597,0.33573407202216066
0.36,1,-3.0,-1.6,0.4,-0.7,-4.07,-17.9,-1.07,-16.3,16.335,0.004,0.408,-0.066,-0.998,0.8339950372208437
0.36,2,-18.3,-4.5,0.4,0.3,-4.07,-17.9,14.23,-13.4,19.546,0.004,0.489,0.728,-0.686,0.1708
0.36,3,-0.5,-8.4,-0.2,0.5,-4.07,-17.9,-3.57,-9.5,10.149,0.004,0.254,-0.352,-0.936,-0.7376623376623377
0.36,4,19.6,-0.3,-0.3,0.1,-4.07,-17.9,-23.67,-17.6,29.496,0.004,0.737,-0.802,-0.597,0.5724683544303798
0.37,1,-3.0,-1.6,-0.2,0.4,-4.08,-17.91,-1.08,-16.31,16.346,0.004,0.409,-0.066,-0.998,-0.8635346756152126
0.37,2,-18.3,-4.5,0.2,0.3,-4.08,-17.91,14.22,-13.41,19.546,0.004,0.489,0.728,-0.686,-0.16675900277008313
0.37,3,-0.5,-8.4,-0.3,0.4,-4.08,-17.91,-3.58,-9.51,10.162,0.004,0.254,-0.352,-0.936,-0.5376000000000002
0.37,4,19.6,-0.3,-0.3,0.1,-4.08,-17.91,-23.68,-17.61,29.51,0.004,0.738,-0.802,-0.597,0.5724683544303798
0.38,1,-3.0,-1.6,-0.3,0.5,-4.07,-17.92,-1.07,-16.32,16.355,0.004,0.409,-0.065,-0.998,-0.8224699828473414
