Time,ID,Ne,Area Coverage
2.3,18,2.0,104.72
2.3,19,1.0,157.08
2.3,20,2.0,104.72
2.3,21,5.0,52.36
2.3,22,3.0,78.54
2.3,23,3.0,78.54
2.3,24,4.0,62.832
2.4,5,0.0,314.159
2.4,6,1.0,157.08
2.4,7,5.0,52.36
2.4,8,4.0,62.832
2.4,9,7.0,39.27
2.4,10,2.0,104.72
2.4,11,3.0,78.54
2.4,12,2.0,104.72
2.4,13,7.0,39.27
2.4,14,5.0,52.36
2.4,15,5.0,52.36
2.4,16,0.0,314.159
2.4,17,1.0,157.08
2.4,18,2.0,104.72
2.4,19,1.0,157.08
2.4,20,2.0,104.72
2.4,21,5.0,52.36
2.4,22,4.0,62.832
2.4,23,3.0,78.54
2.4,24,4.0,62.832
2.5,5,0.0,314.159
2.5,6,1.0,157.08
2.5,7,5.0,52.36
2.5,8,4.0,62.832
2.5,9,7.0,39.27
2.5,10,2.0,104.72
2.5,11,3.0,78.54
2.5,12,2.0,104.72
2.5,13,7.0,39.27
2.5,14,5.0,52.36
2.5,15,5.0,52.36
2.5,16,0.0,314.159
2.5,17,1.0,157.08
2.5,18,2.0,104.72
2.5,19,1.0,157.08
2.5,20,2.0,104.72
2.5,21,5.0,52.36
2.5,22,3.0,78.54
2.5,23,3.0,78.54
2.5,24,4.0,62.832
2.6,5,0.0,314.159
2.6,6,1.0,157.08
2.6,7,5.0,52.36
2.6,8,4.0,62.832
2.6,9,6.0,44.88
2.6,10,2.0,104.72
2.6,11,3.0,78.54
2.6,12,2.0,104.72
2.6,13,7.0,39.27
2.6,14,5.0,52.36
2.6,15,5.0,52.36
2.6,16,0.0,314.159
2.6,17,1.0,157.08
2.6,18,2.0,104.72
2.6,19,1.0,157.08
2.6,20,1.0,157.08
2.6,21,5.0,52.36
2.6,22,3.0,78.54
2.6,23,3.0,78.54
2.6,24,4.0,62.832
2.7,5,0.0,314.159
2.7,6,1.0,157.08
2.7,7,5.0,52.36
2.7,8,4.0,62.832
2.7,9,6.0,44.88
2.7,10,2.0,104.72
2.7,11,3.0,78.54
2.7,12,2.0,104.72
2.7,13,7.0,39.27
2.7,14,5.0,52.36
2.7,15,5.0,52.36
2.7,16,0.0,314.159
2.7,17,1.0,157.08
2.7,18,2.0,104.72
2.7,19,1.0,157.08
2.7,20,1.0,157.08
2.7,21,5.0,52.36
2.7,22,3.0,78.54
2.7,23,3.0,78.54
2.7,24,4.0,62.832
2.8,5,0.0,314.159
2.8,6,1.0,157.08
2.8,7,5.0,52.36
